06N,MAGNA POLONIA SA
08N,OCTAVA SA
11B,11 BIT STUDIOS SA
1AT,ATAL SA
4FM,4FUN MEDIA SA
AAT,ALTA SA
ABA,ABADON REAL ESTATE SA
ABC,ABC DATA SA
ABE,AB SA
ABM,ABM SOLID SA
ABS,ASSECO BUSINESS SOLUTIONS SA
ACG,AC SA
ACP,ASSECO POLAND SA
ACT,ACTION SA
ADV,ADIUVO INVESTMENTS SA
AGO,AGORA SA
AGT,AGROTON GROUP OF COMPANIES
ALC,ALCHEMIA SA
ALI,ALTUS TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA
ALL,AILLERON SA
ALR,ALIOR BANK SA
AMB,GRUPA AMBRA SA
AMC,AMICA SA
AML,ALUMETAL SA
APE,APS ENERGIA SA
APL,AMPLI SA
APN,APLISENS SA
APR,AUTO PARTNER SA
APT,GRUPA APATOR SA
ARC,ARCUS SA
ARH,ARCHICOM SA
ARR,ARTERIA SA
ART,ARTIFEX MUNDI SA
ASB,ASBISC ENTERPRISES PLC
ASE,ASSECO SOUTH EASTERN EUROPE SA
ASM,ASM GROUP SA
AST,ASTARTA HOLDING NV
ATC,ARCTIC PAPER SA
ATD,ATENDE SA
ATG,ATM GRUPA SA
ATL,ATLAS ESTATES LIMITED
ATM,ATM SA
ATP,ATLANTA POLAND SA
ATR,ATREM SA
ATS,ATLANTIS SE
ATT,GRUPA AZOTY SA
AUG,AUGA GROUP AB
AWB,AWBUD SA
AWM,AIRWAY MEDIX SA
BAH,BRITISH AUTOMOTIVE HOLDING SA
BAL,PRZEDSIĘBIORSTWO HANDLU ZAGRANICZNEGO BALTONA SA
BBD,BBI DEVELOPMENT SA
BCM,BETACOM SA
BDL,BUDOPOL WROCŁAW SA
BDX,BUDIMEX SA
BDZ,ELEKTROCIEPŁOWNIA BĘDZIN SA
BFT,BENEFIT SYSTEMS SA
BHW,BANK HANDLOWY W WARSZAWIE SA
BIK,BIURO INWESTYCJI KAPITAŁOWYCH SA
BIO,BIOTON SA
BKM,POLSKI BANK KOMÓREK MACIERZYSTYCH SA
BMC,BUMECH SA
BML,BIOMED-LUBLIN WYTWÓRNIA SUROWIC I SZCZEPIONEK SA
BNP,BANK BGŻ BNP PARIBAS SA
BOS,BANK OCHRONY ŚRODOWISKA SA
BOW,BOWIM SA
BRA,BRASTER SA
BRG,BERLING SA
BRS,BORYSZEW SA
BSC,BSC DRUKARNIA OPAKOWAŃ SA
BST,BEST SA
BWO,BUWOG AG
CAR,INTER CARS SA
CCC,CCC SA
CCE,CLEAN & CARBON ENERGY SA
CDL,CDRL SA
CDR,CD PROJEKT SA
CEZ,CEZ AS
CFI,CFI HOLDING SA
CHS,CHEMOSERVIS-DWORY SA
CIE,CIECH SA
CIG,CI GAMES SA
CLE,COAL ENERGY SA
CLN,CELON PHARMA SA
CMP,COMP SA
CMR,COMARCH SA
CNG,CERAMIKA NOWA GALA SA
CNT,CENTRUM NOWOCZESNYCH TECHNOLOGII SA
COG,COGNOR HOLDING SA
CPA,CAPITAL PARTNERS SA
CPD,CPD SA
CPG,CAPITAL PARK SA
CPL,COMPERIA.PL SA
CPS,CYFROWY POLSAT SA
CRM,PZ CORMAY SA
CTC,CALATRAVA CAPITAL SA
CTG,CUBE.ITG SA
CTS,CITY SERVICE AS
CZT,CZERWONA TOREBKA SA
DAT,DATAWALK SA
DATA,DATAWALK SA - PDA
DBC,FIRMA OPONIARSKA DĘBICA SA
DCR,DECORA SA
DEK,DEKPOL SA
DEL,DELKO SA
DGA,DGA SA
DNP,DINO POLSKA SA
DOM,DOM DEVELOPMENT SA
DPL,DROZAPOL-PROFIL SA
DRE,DREWEX SA
DRP,DROP SA
EAH,ESOTIQ & HENDERSON SA
EAT,AMREST HOLDINGS SE
ECH,ECHO INVESTMENT SA
EDI,ED INVEST SA
EEX,EKO EXPORT SA
EFK,KORPORACJA GOSPODARCZA EFEKT SA
EGS,ERGIS SA
EHG,EUROHOLD BULGARIA AD
EKP,PRZEDSIĘBIORSTWO ELEKTROMONTAŻOWE ELKOP SA
ELB,ELEKTROBUDOWA SA
ELT,ELEKTROTIM SA
ELZ,ZAKŁADY URZĄDZEŃ KOMPUTEROWYCH ELZAB SA
EMC,EMC INSTYTUT MEDYCZNY SA
EMT,ELEMENTAL HOLDING SA
ENA,ENEA SA
ENE,CENTRUM MEDYCZNE ENEL-MED SA
ENG,ENERGA SA
ENI,ENERGOINSTAL SA
ENP,ENERGOAPARATURA SA
